1e-07, 1.09385
5e-07, 1.19213
9e-07, 1.22853
1e-06, 1.23417
3e-06, 1.32031
5e-06, 1.37845
7e-06, 1.42785
9e-06, 1.4731
1e-05, 1.4951
3e-05, 1.92401
5e-05, 2.37497
7e-05, 2.81558
9e-05, 3.19188
0.0001, 3.3434
0.0003, 4.38236
0.0005, 4.80191
0.0007, 5.12114
0.0009, 5.3859
0.001, 5.50398
0.002, 6.44958
0.003, 7.17931
0.004, 7.80916
0.005, 8.37249
0.006, 8.89714
0.007, 9.42037
0.008, 9.92566
0.009, 10.3853
0.01, 10.8376
0.015, 12.9191
0.02, 14.8692
0.025, 16.72
0.03, 18.4314
0.035, 20.7288
0.04, 22.0685
0.045, 26.3401
0.05, 24.5034
0.055, 24.1895
0.06, 27.4864
0.065, 34.3253
0.07, 21.469
0.075, 37.536
0.08, 49.6957
0.085, 32.9827
0.09, 28.7666
0.095, 34.0668
0.1, 46.9713
0.15, 106.477
0.2, 29.537
0.25, 299.954
