1e-07,7.11959
5e-07,6.98065
9e-07,6.7452
1e-06,7.05204
3e-06,6.66534
5e-06,6.82749
7e-06,6.61085
9e-06,6.88697
1e-05,6.78166
3e-05,6.68467
5e-05,6.43955
7e-05,6.40287
9e-05,6.33366
0.0001,6.44658
0.0003,6.27205
0.0005,6.33969
0.0007,6.37492
0.0009,6.25515
0.001,6.3454
0.002,6.2897
0.003,6.28166
0.004,6.27165
0.005,6.29425
0.006,6.4214
0.007,6.24699
0.008,6.31642
0.009,6.24553
0.01,6.27923
0.015,6.28275
0.02,6.24506
0.025,6.24285
0.03,6.23401
0.035,6.24855
0.04,6.23407
0.045,6.26803
0.05,6.25146
0.055,6.26936
0.06,7.83538
0.065,6.26431
0.07,6.31514
0.075,6.34706
0.08,6.264
0.085,6.27881
0.09,6.22084
0.095,6.25223
0.1,6.38514
