1e-07,1.80417
5e-07,1.1942
9e-07,1.19651
1e-06,1.19464
3e-06,1.19316
5e-06,1.188
7e-06,1.19673
9e-06,1.22036
1e-05,1.1862
3e-05,1.185
5e-05,1.18726
7e-05,1.19767
9e-05,1.1927
0.0001,1.19324
0.0003,1.1875
0.0005,1.25632
0.0007,1.22679
0.0009,1.19422
0.001,1.1914
0.002,1.18708
0.003,1.19943
0.004,1.18402
0.005,1.19227
0.006,1.20201
0.007,1.19217
0.008,1.18894
0.009,1.47655
0.01,1.19508
0.015,1.19493
0.02,1.18703
0.025,1.17747
0.03,1.19283
0.035,1.19349
0.04,1.17127
0.045,1.1865
0.05,1.18528
0.055,1.46466
0.06,1.17627
0.065,1.18949
0.07,1.18916
